ReZx[Ohm*cm2],-ImZx[Ohm*cm2]
8.96,0.46
9.17,0.549
9.32,0.581
9.44,0.754
9.55,1.01
9.7,1.43
9.93,2.01
10.2,2.84
10.6,4.08
11.2,5.82
11.9,8.47
13,12.4
14.4,18
16.8,26.8
19.9,38.9
24.6,57.8
32.3,85.2
43.4,125
60.4,185
84.9,267
124,395
182,575
268,832
403,1220
594,1740
914,2530
1380,3660
2150,5360
3280,7540
5310,10900
7990,14500
12800,20700
19600,25900
35300,34400
35800,36700
57600,41300
