ReZx[Ohm*cm2],-ImZx[Ohm*cm2]
2.07,0.15
2.04,0.02
2.03,0.15
2.04,0.35
2.1,0.55
2.19,0.85
2.31,1.27
2.5,1.87
2.77,2.76
3.12,3.97
3.65,5.85
4.4,8.53
5.44,12.38
6.97,18.48
8.97,26.74
12,39.69
16.45,59.03
22.82,87.23
32.43,130.65
46.18,191.87
67.66,289.73
100.45,431.35
149.37,639.08
225.81,959.37
338.56,1407.38
527.65,2108.2
816.49,3204.32
1304.2,4874.5
2045.16,7132.43
3469.89,10883.2
5308.96,15238.87
9482.75,23266.74
15137.68,31670.43
32597.01,49983.38
32762.33,51624.78
65466.2,72497.57
