ReZx[Ohm*cm2],-ImZx[Ohm*cm2]
2.68,0.587
2.82,0.773
2.99,1.03
3.25,1.37
3.55,1.78
3.95,2.37
4.48,3.13
5.16,4.19
5.94,5.67
6.87,7.69
8.17,10.7
9.88,15.1
12.1,21.3
15.4,30.7
19.6,43.7
25.9,63.5
34.7,92.2
47.4,134
66.1,196
92.5,282
134,417
197,608
295,884
460,1300
725,1840
1200,2620
1980,3610
3290,4760
4980,5760
7170,6670
9170,7100
12000,8070
13700,8670
15000,9570
17800,12300
20700,10200
