mV,log |µA/cm2|
-3.15E+01,-1.027589093
-3.09E+01,-1.042032211
-3.03E+01,-1.033413074
-2.97E+01,-1.036472025
-2.91E+01,-1.024172543
-2.85E+01,-1.034599877
-2.79E+01,-1.024140083
-2.73E+01,-1.027923903
-2.67E+01,-1.024748794
-2.61E+01,-1.024372504
-2.54E+01,-1.026759475
-2.49E+01,-1.016511148
-2.43E+01,-1.024988167
-2.37E+01,-1.029217885
-2.31E+01,-1.022374648
-2.25E+01,-1.024492139
-2.19E+01,-1.018074621
-2.13E+01,-1.005363646
-2.07E+01,-1.014300101
-2.01E+01,-1.02364438
-1.95E+01,-1.004986511
-1.89E+01,-1.008205681
-1.83E+01,-1.004157666
-1.77E+01,-1.014751727
-1.71E+01,-1.001064456
-1.64E+01,-1.019345993
-1.59E+01,-1.018231528
-1.52E+01,-1.01122092
-1.47E+01,-1.008495223
-1.41E+01,-1.014116432
-1.35E+01,-1.008403691
-1.28E+01,-1.000257787
-1.23E+01,-1.010128819
-1.17E+01,-1.004396874
-1.11E+01,-0.99930395
-1.05E+01,-0.993468925
-9.91E+00,-0.989108381
-9.33E+00,-0.991919589
-8.70E+00,-0.994460871
-8.10E+00,-0.986008161
-7.47E+00,-0.988877614
-6.91E+00,-0.993637088
-6.28E+00,-0.986051056
-5.69E+00,-0.991295525
-5.09E+00,-0.987116818
-4.47E+00,-0.99655584
-3.92E+00,-0.98970895
-3.28E+00,-0.985526925
-2.69E+00,-0.98841391
-2.09E+00,-0.98962795
-1.47E+00,-0.978470017
-8.96E-01,-0.988857719
-3.20E-01,-0.987106279
3.31E-01,-0.986348499
9.20E-01,-0.983433778
1.47E+00,-0.98485493
2.11E+00,-0.985455521
2.69E+00,-0.973855037
3.33E+00,-0.980991361
3.91E+00,-0.965338261
4.53E+00,-0.986042224
5.09E+00,-0.979686376
5.75E+00,-0.972915536
6.30E+00,-0.975470823
6.92E+00,-0.971298235
7.50E+00,-0.969452494
8.10E+00,-0.968097731
8.72E+00,-0.981249169
9.30E+00,-0.968730532
9.90E+00,-0.960792964
1.05E+01,-0.966977348
1.11E+01,-0.968252313
1.17E+01,-0.972458366
1.23E+01,-0.96016369
1.29E+01,-0.970056465
1.35E+01,-0.962511749
1.41E+01,-0.95984009
1.47E+01,-0.96084098
1.53E+01,-0.965656756
1.59E+01,-0.961510583
1.65E+01,-0.957923248
1.71E+01,-0.956658946
1.77E+01,-0.953254008
1.84E+01,-0.946249113
1.89E+01,-0.947096463
1.95E+01,-0.952030428
2.01E+01,-0.949082253
2.07E+01,-0.945391541
2.13E+01,-0.938995241
2.19E+01,-0.93865196
2.25E+01,-0.946812036
2.32E+01,-0.94795587
2.37E+01,-0.945408776
2.43E+01,-0.935737862
2.49E+01,-0.942597519
2.55E+01,-0.934138813
2.61E+01,-0.936567181
2.67E+01,-0.934810691
2.74E+01,-0.929310626
2.79E+01,-0.932012029
2.85E+01,-0.931667913
2.91E+01,-0.940282505
2.97E+01,-0.929411022
3.03E+01,-0.933377439
3.09E+01,-0.923997451
3.15E+01,-0.929081501
3.22E+01,-0.923612999
3.27E+01,-0.921711422
3.33E+01,-0.920631686
3.39E+01,-0.926510402
3.45E+01,-0.925772523
3.52E+01,-0.918653052
3.57E+01,-0.91546054
3.63E+01,-0.919955367
3.69E+01,-0.917972974
3.75E+01,-0.913345519
3.81E+01,-0.908858734
3.87E+01,-0.911351215
3.93E+01,-0.910600801
3.99E+01,-0.91136715
4.05E+01,-0.913509545
4.12E+01,-0.903878687
4.17E+01,-0.911924185
4.23E+01,-0.904449195
4.29E+01,-0.909407271
4.35E+01,-0.906572711
4.41E+01,-0.904863789
4.47E+01,-0.901546644
4.53E+01,-0.899552943
4.59E+01,-0.90186215
4.66E+01,-0.89492535
4.71E+01,-0.890107741
4.77E+01,-0.888456227
4.83E+01,-0.891049221
4.89E+01,-0.890760045
4.95E+01,-0.886154876
5.01E+01,-0.880834873
5.07E+01,-0.881083495
5.13E+01,-0.887888552
5.19E+01,-0.886130818
5.25E+01,-0.886795911
5.31E+01,-0.880122485
5.37E+01,-0.877341531
5.43E+01,-0.880592662
5.49E+01,-0.875249679
5.55E+01,-0.88038158
5.61E+01,-0.875707431
5.67E+01,-0.879025847
5.73E+01,-0.872461772
5.79E+01,-0.873894255
5.85E+01,-0.874840264
5.91E+01,-0.873807529
5.97E+01,-0.866428521
6.03E+01,-0.863863111
6.09E+01,-0.870595328
6.15E+01,-0.861570664
6.21E+01,-0.865334665
6.27E+01,-0.861618662
6.33E+01,-0.863210649
6.39E+01,-0.857397506
6.45E+01,-0.860591969
6.51E+01,-0.859045322
6.57E+01,-0.85516436
6.63E+01,-0.862609488
6.69E+01,-0.858185698
6.75E+01,-0.856988324
6.81E+01,-0.85474764
6.87E+01,-0.847099182
6.93E+01,-0.844991781
6.99E+01,-0.846258591
7.05E+01,-0.844113092
7.11E+01,-0.842791125
7.17E+01,-0.836867559
7.23E+01,-0.845059259
7.29E+01,-0.843151731
7.35E+01,-0.840728853
7.41E+01,-0.841174507
7.47E+01,-0.841936188
7.53E+01,-0.834307955
7.59E+01,-0.832802334
7.65E+01,-0.830840972
7.71E+01,-0.83075596
7.77E+01,-0.832109302
7.84E+01,-0.830962194
7.89E+01,-0.832555055
7.95E+01,-0.825423884
8.01E+01,-0.824441803
8.07E+01,-0.827154014
8.13E+01,-0.819454662
8.19E+01,-0.826048707
8.25E+01,-0.828657709
8.31E+01,-0.820291983
8.37E+01,-0.814465494
8.43E+01,-0.819799263
8.49E+01,-0.826088279
8.55E+01,-0.815229665
8.61E+01,-0.815669496
8.67E+01,-0.814681141
8.73E+01,-0.813712281
8.80E+01,-0.815348878
8.86E+01,-0.809769462
8.93E+01,-0.811731752
8.98E+01,-0.811279578
9.04E+01,-0.806175527
9.11E+01,-0.805284791
9.16E+01,-0.798148061
9.23E+01,-0.800244274
9.28E+01,-0.800075415
9.34E+01,-0.800678786
9.40E+01,-0.797109724
9.46E+01,-0.794844646
9.52E+01,-0.793526828
9.58E+01,-0.799367251
9.64E+01,-0.785841766
9.70E+01,-0.789228691
9.76E+01,-0.786953715
9.82E+01,-0.786950524
9.88E+01,-0.781902949
9.94E+01,-0.774733633
1.00E+02,-0.773287476
1.01E+02,-0.778950827
1.01E+02,-0.77817644
1.02E+02,-0.767807951
1.02E+02,-0.766938115
1.03E+02,-0.764953079
1.04E+02,-0.766814467
1.04E+02,-0.764997317
1.05E+02,-0.765889362
1.05E+02,-0.772034924
1.06E+02,-0.76674466
1.07E+02,-0.771001999
1.07E+02,-0.767391372
1.08E+02,-0.763608871
1.08E+02,-0.764526348
1.09E+02,-0.764153776
1.10E+02,-0.761182141
1.10E+02,-0.763736148
1.11E+02,-0.765089347
1.11E+02,-0.751461047
1.12E+02,-0.753329853
1.13E+02,-0.751725531
1.13E+02,-0.751729699
1.14E+02,-0.754394561
1.14E+02,-0.750027942
1.15E+02,-0.749390706
1.16E+02,-0.750856453
1.16E+02,-0.747155946
1.17E+02,-0.750413765
1.17E+02,-0.750591519
1.18E+02,-0.745242681
1.19E+02,-0.745112016
1.19E+02,-0.7407077
1.20E+02,-0.737330394
1.20E+02,-0.747244029
1.21E+02,-0.738832567
1.22E+02,-0.739785939
1.22E+02,-0.738423363
1.23E+02,-0.735101698
1.23E+02,-0.73577927
1.24E+02,-0.729546636
1.25E+02,-0.72986408
1.25E+02,-0.73104242
1.26E+02,-0.727486802
1.26E+02,-0.722966636
1.27E+02,-0.720000847
1.28E+02,-0.720257335
1.28E+02,-0.71423437
1.29E+02,-0.713016589
1.29E+02,-0.713763653
1.30E+02,-0.71478396
1.31E+02,-0.71347527
1.31E+02,-0.710455639
1.32E+02,-0.707250753
1.32E+02,-0.713267188
1.33E+02,-0.711464842
1.34E+02,-0.713647064
1.34E+02,-0.716501574
1.35E+02,-0.709955812
1.35E+02,-0.712136712
1.36E+02,-0.710327674
1.37E+02,-0.708456889
1.37E+02,-0.708821028
1.38E+02,-0.702773441
1.38E+02,-0.700078652
1.39E+02,-0.699073162
1.40E+02,-0.699484514
1.40E+02,-0.697601746
1.41E+02,-0.698588644
1.41E+02,-0.696066269
1.42E+02,-0.689987439
1.43E+02,-0.691055878
1.43E+02,-0.690616642
1.44E+02,-0.689350013
1.44E+02,-0.687179086
1.45E+02,-0.687516502
1.46E+02,-0.687694194
1.46E+02,-0.684199629
1.47E+02,-0.680977267
1.47E+02,-0.68708273
1.48E+02,-0.679357779
1.49E+02,-0.680902273
1.49E+02,-0.677223305
1.50E+02,-0.674201809
1.50E+02,-0.674125105
1.51E+02,-0.672733248
1.52E+02,-0.66640785
1.52E+02,-0.672856734
1.53E+02,-0.671808632
1.53E+02,-0.671737855
1.54E+02,-0.670143049
1.55E+02,-0.661554464
1.55E+02,-0.6640443
1.56E+02,-0.660273559
1.56E+02,-0.663408397
1.57E+02,-0.659360992
1.58E+02,-0.659271406
1.58E+02,-0.655962971
1.59E+02,-0.65959535
1.59E+02,-0.6567624
1.60E+02,-0.653309894
1.61E+02,-0.657916399
1.61E+02,-0.649572485
1.62E+02,-0.652741625
1.62E+02,-0.645987654
1.63E+02,-0.646524632
1.64E+02,-0.645770705
1.64E+02,-0.643844448
1.65E+02,-0.645394521
1.65E+02,-0.642984239
1.66E+02,-0.636905345
1.67E+02,-0.639221095
1.67E+02,-0.640055484
1.68E+02,-0.63824403
1.68E+02,-0.632370355
1.69E+02,-0.633486271
1.70E+02,-0.634353489
1.70E+02,-0.630607677
1.71E+02,-0.628069396
1.72E+02,-0.627987881
1.72E+02,-0.62521409
