,Φ [°],log(freq)
,21.28,5
,23.02,4.8
,25.02,4.6
,28.38,4.4
,30.65,4.2
,35.1,4
,38.79,3.8
,42.2,3.6
,45.48,3.4
,48.25,3.2
,51.34,3
,54.2,2.8
,56.78,2.6
,59.33,2.4
,61.56,2.2
,63.95,2
,65.66,1.8
,67.3,1.6
,68.9,1.4
,70.11,1.2
,71.37,1
,72.19,0.8
,72.93,0.6
,73.71,0.4
,74.25,0.2
,74.45,0
,74.87,-0.2
,75.1,-0.41
,75.1,-0.6
,75.02,-0.82
,75.01,-1
,74.22,-1.22
,73.82,-1.4
,72.61,-1.7
,73.75,-1.7
,69.96,-2
